question,description,min,max,start,tick1,tick2,scale
Approximately what time would you get up if you were entirely free to plan your day?,Ideal Wakeup Time,0,24,8,2,1,inverse
Approximately what time would you go to bed if you were entirely free to plan your evening?,Ideal Sleep Time,0,24,22,2,1,normal
"If you usually have to get up at a specific time in the morning,how much do you depend on an alarm clock?","1 = Not at all, 4 = Very much",1,4,1,1,1,inverse
How easy do you find it to get up in the morning (when you are not awakened unexpectedly)?,"1 = Very difficult,  4 = Very easy",1,4,1,1,1,normal
How alert do you feel during the first half hour after you wake up in the morning?,"1 = Not at all alert,  4 = Very alert",1,4,1,1,1,normal
How hungry do you feel during the first half hour after you wake up?,"1 = Not at all hungry, 4 = Very hungry",1,4,1,1,1,normal
"During the first half hour after you wake up in the morning, how do you feel?","1 = Very tired, 4 = Very refreshed",1,4,1,1,1,normal
"If you had no commitments the next day, what time would you go to bed compared to your usual bedtime?","1 = Never later, 4 = More than two hours later",1,4,1,1,1,inverse
"A friend suggests that you do this for one hour twice a week, and the best time for him is between 7-8 AM (07-08 h). How do you think you would perform?","1 = Would find it very difficult, 4 = Would be in good form",1,4,1,1,1,normal
"At approximately what time in the evening do you feel tired, and, as a result, in need of sleep?",Time you feel tired,0,24,22,2,1,normal
You want to be at your peak performance for a test that you know is going to be mentally exhausting and will last two hours. Which testing time would you choose?,Choose your ideal testing time,0,24,8,2,1,inverse
"If you got into bed at 11 PM (23 h), how tired would you be?","1 = Not at all tired,  4 = Very tired",1,4,1,1,1,normal
You have gone to bed several hours later than usual. How likely are you to wake up at the usual time?,"1 = Will not wake up until later than usual, 4 = Will wake up at usual time",1,4,1,1,1,normal
You remain awake between 4-6 AM (04-06 h) in order to carry out a night watch. When would you go to bed?,"1 = Would not go to bed until the watch is over, 4 = Would sleep before the watch",1,4,1,1,1,normal
You have two hours of hard physical work. Which time would you choose to start?,Ideal time to do physical work,0,24,8,2,1,inverse
A friend suggests that you exercise one hour twice a week. The best time for her is between 10-11 PM (22-23 h). How well do you think you would perform?,"1 = Would be in good form, 4 = Would find it very difficult",1,4,1,1,1,normal
"Assume that you work a five-hour day, your job is interesting, and you are paid based on your performance. At what time would you choose to begin?",Ideal Work Hours,0,24,8,2,1,inverse
At approximately what time of day do you usually feel your best?,Time you feel best,0,24,8,2,1,inverse
One hears about “morning types” and “evening types.” Which one of these types do you consider yourself to be?,"1 = Morning type,  4 = Evening type",1,4,1,1,1,inverse
